title,artist,mood,language
Let It Be,The Beatles,calm,english
Happy,Pharrell Williams,happy,english
Someone Like You,Adele,sad,english
Stronger,Kanye West,energetic,english
Perfect,Ed Sheeran,romantic,english
Channa Mereya,Arijit Singh,sad,hindi
Tum Hi Ho,Arijit Singh,romantic,hindi
Agar Tum Saath Ho,Alka Yagnik,sad,hindi
Zinda,Siddharth Mahadevan,energetic,hindi
Ilahi,Arijit Singh,happy,hindi
Counting Stars,OneRepublic,energetic,english
Love Me Like You Do,Ellie Goulding,romantic,english
Kabira,Rekha Bhardwaj,calm,hindi
On Top of the World,Imagine Dragons,happy,english
Fix You,Coldplay,sad,english
Galliyan,Ankit Tiwari,romantic,hindi
Rockabye,Clean Bandit,sad,english
Uptown Funk,Mark Ronson,energetic,english
Raatan Lambiyan,Jubin Nautiyal,romantic,hindi
Jeene Ke Hain Chaar Din,Salman Khan,happy,hindi
